ID,index,GEE_ID,LANDSAT_PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,Date,Time,WRS_TYPE,WRS_PATH,WRS_ROW,CloudCover,SunAzimuth,SunElevation,SunZenith,RemainAfterPreprocess,Period,CountValidPixel,Percentile
1034,LE07_121044_20211019,LANDSAT/LE07/C02/T1_L2/LE07_121044_20211019,LE07_L2SP_121044_20211019_20211114_02_T1,LANDSAT_7,ETM,19/10/2021,01:40:23.0579960Z,2,121,44,3,129.12,41.56,48.44,Yes,2020,890487,54
1035,LE07_121045_20211019,LANDSAT/LE07/C02/T1_L2/LE07_121045_20211019,LE07_L2SP_121045_20211019_20211114_02_T1,LANDSAT_7,ETM,19/10/2021,01:40:46.9522973Z,2,121,45,25,127.90,42.28,47.72,No,,,
1036,LC08_121045_20211112,LANDSAT/LC08/C02/T1_L2/LC08_121045_20211112,LC08_L2SP_121045_20211112_20211124_02_T1,LANDSAT_8,OLI_TIRS,12/11/2021,02:46:42.4560860Z,2,121,45,44.26,152.55,46.19,43.81,Yes,2020,913970,65
1037,LC08_122045_20211119,LANDSAT/LC08/C02/T1_L2/LC08_122045_20211119,LC08_L2SP_122045_20211119_20211125_02_T1,LANDSAT_8,OLI_TIRS,19/11/2021,02:52:50.8238630Z,2,122,45,30.49,153.30,44.49,45.51,No,,,
1038,LE07_121045_20211120,LANDSAT/LE07/C02/T1_L2/LE07_121045_20211120,LE07_L2SP_121045_20211120_20211217_02_T1,LANDSAT_7,ETM,20/11/2021,01:37:44.9976662Z,2,121,45,33,136.00,34.88,55.12,Yes,2020,859354,44
1039,LC08_121044_20211128,LANDSAT/LC08/C02/T1_L2/LC08_121044_20211128,LC08_L2SP_121044_20211128_20211208_02_T1,LANDSAT_8,OLI_TIRS,28/11/2021,02:46:17.7545980Z,2,121,44,5.78,154.53,41.38,48.62,Yes,2020,969579,81
1040,LC08_121045_20211128,LANDSAT/LC08/C02/T1_L2/LC08_121045_20211128,LC08_L2SP_121045_20211128_20211208_02_T1,LANDSAT_8,OLI_TIRS,28/11/2021,02:46:41.6541100Z,2,121,45,51.07,153.69,42.57,47.43,No,,,
1041,LC08_122044_20211205,LANDSAT/LC08/C02/T1_L2/LC08_122044_20211205,LC08_L2SP_122044_20211205_20211215_02_T1,LANDSAT_8,OLI_TIRS,5/12/2021,02:52:28.8459940Z,2,122,44,0.09,154.39,40.15,49.85,Yes,2020,1170238,81
1042,LC08_122045_20211205,LANDSAT/LC08/C02/T1_L2/LC08_122045_20211205,LC08_L2SP_122045_20211205_20211215_02_T1,LANDSAT_8,OLI_TIRS,5/12/2021,02:52:52.7412699Z,2,122,45,18.53,153.58,41.35,48.65,No,,,
1043,LE07_121044_20211206,LANDSAT/LE07/C02/T1_L2/LE07_121044_20211206,LE07_L2SP_121044_20211206_20220101_02_T1,LANDSAT_7,ETM,6/12/2021,01:35:50.6255190Z,2,121,44,0,137.68,30.84,59.16,Yes,2020,892284,56
1044,LE07_121045_20211206,LANDSAT/LE07/C02/T1_L2/LE07_121045_20211206,LE07_L2SP_121045_20211206_20220101_02_T1,LANDSAT_7,ETM,6/12/2021,01:36:14.5233979Z,2,121,45,12,136.90,31.75,58.25,No,,,
1045,LC09_121044_20211206,LANDSAT/LC09/C02/T1_L2/LC09_121044_20211206,LC09_L2SP_121044_20211206_20220120_02_T1,LANDSAT_9,OLI_TIRS,6/12/2021,02:46:19.7655680Z,2,121,44,0.09,154.31,39.99,50.01,Yes,2020,1053770,100
