PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
337,2010,SG73,841410.5,810279.3,Shrubland,Shrubland
338,2010,SG76,843142.1,809490.1,Grassland,Grassland
339,2010,SG78,824336.6,835423.4,Grassland,Grassland
340,2010,SG79,824648.2,835304.1,Grassland,Grassland
341,2010,SG80,824664.8,834880.9,Shrubland,Shrubland
342,2010,SG82,841424.8,829051.3,Shrubland,Shrubland
343,2010,SG83,841924.5,828637.8,Shrubland,Shrubland
344,2010,SG84,841755.9,829042.3,Shrubland,Shrubland
345,2010,SG85,841742.4,829090.9,Shrubland,Shrubland
346,2010,SG86,840416.4,828475,Lowland forest,Woodland
347,2010,SG88,841346.7,829945.6,Shrubland,Shrubland
348,2010,SG89,841821.8,829771.1,Shrubland,Shrubland
349,2010,SG90,841854.7,829695.8,Shrubland,Shrubland
350,2010,SG91,847362.7,815478.2,Shrubland,Shrubland
351,2010,SG92,847305.6,815650.8,Shrubland,Shrubland
352,2010,SG94,824832.5,830142.2,Shrubland,Shrubland
353,2010,SG96,824466.4,830693.2,Shrubland,Shrubland
354,2010,SG97,824042.1,831242.2,Shrubland,Shrubland
355,2010,SG98,824181.5,831437.2,Grassland,Grassland
356,2010,SG99,824464.8,831226.3,Other (urban or highly modified area),Built-up area
357,2010,RS9,819974.8,824310.5,Other (urban or highly modified area),Built-up area
358,2010,RS10,820173.7,824176.6,Other (urban or highly modified area),Built-up area
359,2010,C1,811130.1,809853.2,Other (urban or highly modified area),Built-up area
360,2010,C2,810917.5,809722.5,Cultivation,Grassland
361,2010,C3,809694.7,809282.6,Cultivation,Grassland
362,2010,C4,809233.9,809165,Cultivation,Grassland
363,2010,C6,832948.1,834981.4,Cultivation,Grassland
364,2010,C7,832550.9,834627.3,Cultivation,Grassland
365,2010,C8,819318.6,835492.1,Grassland,Grassland
366,2010,C9,819389.5,835589.6,Grassland,Grassland
367,2010,C10,819495.5,835666.3,Shrubland,Shrubland
368,2010,C11,822111.3,833071,Cultivation,Grassland
369,2010,C12,822090.3,832836,Cultivation,Grassland
370,2010,C13,822131.9,832693.2,Cultivation,Grassland
371,2010,C14,822079.8,832549.1,Cultivation,Grassland
372,2010,C15,821804.7,832693.2,Cultivation,Grassland
373,2010,C16,821679.7,832453.5,Cultivation,Grassland
374,2010,C17,821727.3,832302.6,Cultivation,Grassland
375,2010,C18,821510.9,832491,Other (urban or highly modified area),Built-up area
376,2010,C19,824129.8,835091.6,Cultivation,Grassland
377,2010,C20,824036.5,834944.5,Cultivation,Grassland
378,2010,C21,824194,834997.6,Cultivation,Grassland
379,2010,C22,823980.7,834825.1,Cultivation,Grassland
380,2010,C23,824688,834855.1,Shrubland,Shrubland
381,2010,C24,824803.2,834988.7,Grassland,Grassland
382,2010,C25,824796.4,834154.4,Cultivation,Grassland
383,2010,C26,820637.1,832318.2,Grassland,Grassland
384,2010,C27,820730.6,831789.1,Grassland,Grassland
385,2010,C28,820602.3,831650.2,Cultivation,Grassland
386,2010,C29,840719,837306.3,Cultivation,Grassland
387,2010,C30,840699.5,837307.5,Other (urban or highly modified area),Built-up area
388,2010,C31,841009.8,836929.9,Cultivation,Grassland
389,2010,C33,840946.5,836773.8,Cultivation,Grassland
390,2010,C34,840597.8,836690.6,Cultivation,Grassland
391,2010,C35,839748.6,836991.9,Cultivation,Grassland
392,2010,C36,839094.3,836660.8,Freshwater/Brackish wetland,Grassland
393,2010,C37,838604.7,836702,Cultivation,Grassland
394,2010,C38,839117.1,835542.9,Other (urban or highly modified area),Built-up area
395,2010,C39,837768.1,835847.9,Other (urban or highly modified area),Built-up area
396,2010,C40,825712.3,838709.8,Cultivation,Grassland
397,2010,C41,825732.3,838865.1,Cultivation,Grassland
398,2010,C42,826549.2,840941.8,Grassland,Grassland
399,2010,C43,826721.7,840671.1,Cultivation,Grassland
400,2010,C44,820034.9,836179.5,Cultivation,Grassland
401,2010,C45,822565.6,833092.3,Cultivation,Grassland
402,2010,C46,822388.3,833240.2,Cultivation,Grassland
403,2010,C47,822457,833336.4,Freshwater/Brackish wetland,Grassland
404,2010,C48,822378.2,833409.8,Cultivation,Grassland
405,2010,C49,819500.6,832451.1,Cultivation,Grassland
406,2010,C50,819483.3,832337.3,Cultivation,Grassland
407,2010,C51,819363,832196,Cultivation,Grassland
408,2010,C52,829636,841197.8,Cultivation,Grassland
409,2010,C53,829741.7,841108.6,Cultivation,Grassland
410,2010,C54,829845.2,840970.8,Cultivation,Grassland
411,2010,C55,830004.6,841025.4,Cultivation,Grassland
412,2010,C56,829933.3,841191.6,Cultivation,Grassland
413,2010,C57,829681.7,841010.2,Cultivation,Grassland
414,2010,C58,829672.6,840797,Cultivation,Grassland
415,2010,C59,829587.3,840844.1,Cultivation,Grassland
416,2010,C60,829517.7,841039.4,Cultivation,Grassland
417,2010,C61,829538.7,840730.3,Cultivation,Grassland
418,2010,C62,833688.2,843216.1,Cultivation,Grassland
419,2010,C63,834069.1,842900.7,Cultivation,Grassland
420,2010,C64,834178.6,842784.1,Cultivation,Grassland
421,2010,C65,834386.2,842660.7,Grassland,Grassland
422,2010,C67,829791.9,841771.8,Cultivation,Grassland
423,2010,C68,829414.8,841407.1,Cultivation,Grassland
424,2010,C69,829817.4,841185.2,Cultivation,Grassland
425,2010,C70,828730.6,841104.1,Cultivation,Grassland
426,2010,C71,828939.6,840799.5,Cultivation,Grassland
427,2010,C72,834098.8,842499.8,Grassland,Grassland
428,2010,C73,834482.2,842602.9,Cultivation,Grassland
