ID,POINT_X,POINT_Y,Class,G_ms,R_ms,NIR_B3_ms,NIR_ms,B_tm,G_tm,R_tm,NIR_tm,SW1_tm,SW2_tm,B_et,G_et,R_et,NIR_et,SW1_et,SW2_et,C_ol,B_ol,G_ol,R_ol,NIR_ol,SW1_ol,SW2_ol
39,826754.0707,835153.1166,Grassland,0.0306,0.0615,0.1609,0.2350,0.0538,0.0741,0.0785,0.1905,0.2057,0.1266,0.0484,0.0646,0.0748,0.2042,0.2107,0.1295,0.0443,0.0485,0.0698,0.0729,0.2275,0.2168,0.1324
40,828374.2059,836383.4316,Grassland,0.0265,0.0581,0.1568,0.2430,0.0459,0.0662,0.0708,0.1921,0.2062,0.1202,0.0377,0.0560,0.0640,0.1959,0.2068,0.1198,0.0382,0.0424,0.0613,0.0590,0.2167,0.2021,0.1155
41,827804.5017,841904.4766,Grassland,0.0317,0.0642,0.1593,0.2349,0.0538,0.0777,0.0726,0.2324,0.1974,0.1083,0.0439,0.0704,0.0639,0.2569,0.2000,0.1033,0.0452,0.0480,0.0762,0.0619,0.2662,0.2043,0.1036
42,824776.1408,838304.575,Grassland,0.0423,0.0592,0.1847,0.2593,0.0576,0.0814,0.0784,0.2319,0.2046,0.1110,0.0493,0.0727,0.0748,0.2464,0.2056,0.1114,0.0456,0.0508,0.0768,0.0666,0.2782,0.1962,0.1011
43,838872.7712,838998.4526,Grassland,0.0268,0.0650,0.1741,0.2490,0.0448,0.0690,0.0799,0.2181,0.2342,0.1378,0.0386,0.0600,0.0742,0.2271,0.2329,0.1389,0.0468,0.0490,0.0647,0.0675,0.2525,0.2240,0.1246
44,840793.5177,838694.4458,Grassland,0.0208,0.0488,0.1853,0.2787,0.0413,0.0681,0.0684,0.2484,0.2088,0.1072,0.0331,0.0578,0.0596,0.2584,0.2062,0.1071,0.0410,0.0433,0.0650,0.0589,0.2771,0.1966,0.1047
45,838694.2747,844785.5468,Grassland,0.0268,0.0535,0.1652,0.2330,0.0444,0.0654,0.0694,0.2029,0.2010,0.1173,0.0347,0.0541,0.0592,0.2210,0.2019,0.1094,0.0329,0.0365,0.0557,0.0527,0.2210,0.1910,0.1035
46,812476.4738,828045.3917,Grassland,0.0357,0.0696,0.1277,0.1731,0.0510,0.0725,0.0740,0.1618,0.1817,0.1177,0.0440,0.0603,0.0656,0.1712,0.1816,0.1158,0.0478,0.0505,0.0662,0.0666,0.1823,0.1824,0.1138
47,814965.7042,814305.0075,Grassland,0.0211,0.0583,0.1493,0.2134,0.0404,0.0627,0.0727,0.2011,0.2315,0.1439,0.0322,0.0537,0.0665,0.2107,0.2297,0.1402,0.0382,0.0413,0.0595,0.0643,0.2261,0.2207,0.1314
48,805034.7411,813373.2344,Grassland,0.0247,0.0561,0.1178,0.1675,0.0468,0.0697,0.0737,0.1862,0.2035,0.1229,0.0387,0.0577,0.0614,0.1975,0.2003,0.1123,0.0381,0.0427,0.0629,0.0641,0.2201,0.2001,0.1143
49,817934.8603,817726.6774,Grassland,0.0335,0.0663,0.1508,0.2189,0.0475,0.0684,0.0752,0.1918,0.2246,0.1397,0.0394,0.0570,0.0668,0.2075,0.2252,0.1364,0.0450,0.0470,0.0600,0.0635,0.2100,0.2133,0.1309
50,840098.8421,810645.1999,Shrubland,0.0159,0.0279,0.1636,0.2399,0.0326,0.0479,0.0353,0.2328,0.1118,0.0465,0.0237,0.0369,0.0247,0.2362,0.1073,0.0435,0.0140,0.0175,0.0369,0.0226,0.2501,0.1065,0.0440
